station_id,year_month,NO2_sat
pt_48,2024_01,43.460712
pt_49,2024_01,43.460712
pt_50,2024_01,43.460712
pt_51,2024_01,43.460712
pt_52,2024_01,43.460712
pt_53,2024_01,43.460712
pt_54,2024_01,43.460712
pt_55,2024_01,43.460712
pt_56,2024_01,43.460712
pt_57,2024_01,43.460712
pt_58,2024_01,43.460712
pt_59,2024_01,43.460712
pt_60,2024_01,43.460712
pt_61,2024_01,43.460712
pt_62,2024_01,43.460712
pt_63,2024_01,43.460712
pt_64,2024_01,43.460712
pt_65,2024_01,43.460712
pt_66,2024_01,43.460712
pt_67,2024_01,43.460712
pt_68,2024_01,43.460712
pt_69,2024_01,43.460712
pt_70,2024_01,43.460712
pt_71,2024_01,43.460712
pt_72,2024_01,43.460712
pt_1,2024_02,34.605583
pt_2,2024_02,34.605583
pt_3,2024_02,34.605583
pt_4,2024_02,34.605583
pt_5,2024_02,34.605583
pt_6,2024_02,34.605583
pt_7,2024_02,34.605583
pt_8,2024_02,34.605583
pt_9,2024_02,34.605583
pt_10,2024_02,34.605583
pt_11,2024_02,34.605583
pt_12,2024_02,34.605583
pt_13,2024_02,34.605583
pt_14,2024_02,34.605583
pt_15,2024_02,34.605583
pt_16,2024_02,34.605583
pt_17,2024_02,34.605583
pt_18,2024_02,34.605583
pt_19,2024_02,34.605583
pt_20,2024_02,34.605583
pt_21,2024_02,34.605583
pt_22,2024_02,34.605583
pt_23,2024_02,34.605583
pt_24,2024_02,34.605583
pt_25,2024_02,34.605583
pt_26,2024_02,34.605583
pt_27,2024_02,34.605583
pt_28,2024_02,34.605583
pt_29,2024_02,34.605583
pt_30,2024_02,34.605583
pt_31,2024_02,34.605583
pt_32,2024_02,34.605583
pt_33,2024_02,34.605583
pt_34,2024_02,34.605583
pt_35,2024_02,34.605583
pt_36,2024_02,34.605583
pt_37,2024_02,34.605583
pt_38,2024_02,34.605583
pt_39,2024_02,34.605583
pt_40,2024_02,34.605583
pt_41,2024_02,34.605583
pt_42,2024_02,34.605583
pt_43,2024_02,34.605583
pt_44,2024_02,34.605583
pt_45,2024_02,34.605583
pt_46,2024_02,34.605583
pt_47,2024_02,34.605583
pt_48,2024_02,34.605583
pt_49,2024_02,34.605583
pt_50,2024_02,34.605583
pt_51,2024_02,34.605583
pt_52,2024_02,34.605583
pt_53,2024_02,34.605583
pt_54,2024_02,34.605583
pt_55,2024_02,34.605583
pt_56,2024_02,34.605583
pt_57,2024_02,34.605583
pt_58,2024_02,34.605583
pt_59,2024_02,34.605583
pt_60,2024_02,34.605583
pt_61,2024_02,34.605583
pt_62,2024_02,34.605583
pt_63,2024_02,34.605583
pt_64,2024_02,34.605583
pt_65,2024_02,34.605583
pt_66,2024_02,34.605583
pt_67,2024_02,34.605583
pt_68,2024_02,34.605583
pt_69,2024_02,34.605583
pt_70,2024_02,34.605583
pt_71,2024_02,34.605583
pt_72,2024_02,34.605583
pt_1,2024_03,32.734577
pt_2,2024_03,32.734577
pt_3,2024_03,32.734577
pt_4,2024_03,32.734577
pt_5,2024_03,32.734577
pt_6,2024_03,32.734577
pt_7,2024_03,32.734577
pt_8,2024_03,32.734577
pt_9,2024_03,32.734577
pt_10,2024_03,32.734577
pt_11,2024_03,32.734577
pt_12,2024_03,32.734577
pt_13,2024_03,32.734577
pt_14,2024_03,32.734577
pt_15,2024_03,32.734577
pt_16,2024_03,32.734577
pt_17,2024_03,32.734577
pt_18,2024_03,32.734577
pt_19,2024_03,32.734577
pt_20,2024_03,32.734577
pt_21,2024_03,32.734577
pt_22,2024_03,32.734577
pt_23,2024_03,32.734577
pt_24,2024_03,32.734577
pt_25,2024_03,32.734577
pt_26,2024_03,32.734577
pt_27,2024_03,32.734577
pt_28,2024_03,32.734577
pt_29,2024_03,32.734577
pt_30,2024_03,32.734577
pt_31,2024_03,32.734577
pt_32,2024_03,32.734577
pt_33,2024_03,32.734577
pt_34,2024_03,32.734577
pt_35,2024_03,32.734577
pt_36,2024_03,32.734577
pt_37,2024_03,32.734577
pt_38,2024_03,32.734577
pt_39,2024_03,32.734577
pt_40,2024_03,32.734577
pt_41,2024_03,32.734577
pt_42,2024_03,32.734577
pt_43,2024_03,32.734577
pt_44,2024_03,32.734577
pt_45,2024_03,32.734577
pt_46,2024_03,32.734577
pt_47,2024_03,32.734577
pt_48,2024_03,32.734577
pt_49,2024_03,32.734577
pt_50,2024_03,32.734577
pt_51,2024_03,32.734577
pt_52,2024_03,32.734577
pt_53,2024_03,32.734577
pt_54,2024_03,32.734577
pt_55,2024_03,32.734577
pt_56,2024_03,32.734577
pt_57,2024_03,32.734577
pt_58,2024_03,32.734577
pt_59,2024_03,32.734577
pt_60,2024_03,32.734577
pt_61,2024_03,32.734577
pt_62,2024_03,32.734577
pt_63,2024_03,32.734577
pt_64,2024_03,32.734577
pt_65,2024_03,32.734577
pt_66,2024_03,32.734577
pt_67,2024_03,32.734577
pt_68,2024_03,32.734577
pt_69,2024_03,32.734577
pt_70,2024_03,32.734577
pt_71,2024_03,32.734577
pt_72,2024_03,32.734577
pt_1,2024_04,16.997797
pt_2,2024_04,16.997797
pt_3,2024_04,16.997797
pt_4,2024_04,16.997797
pt_5,2024_04,16.997797
pt_6,2024_04,16.997797
pt_7,2024_04,16.997797
pt_8,2024_04,16.997797
pt_9,2024_04,16.997797
pt_10,2024_04,16.997797
pt_11,2024_04,16.997797
pt_12,2024_04,16.997797
pt_13,2024_04,16.997797
pt_14,2024_04,16.997797
pt_15,2024_04,16.997797
pt_16,2024_04,16.997797
pt_17,2024_04,16.997797
pt_18,2024_04,16.997797
pt_19,2024_04,16.997797
pt_20,2024_04,16.997797
pt_21,2024_04,16.997797
pt_22,2024_04,16.997797
pt_23,2024_04,16.997797
pt_24,2024_04,16.997797
pt_25,2024_04,16.997797
pt_26,2024_04,16.997797
pt_27,2024_04,16.997797
pt_28,2024_04,16.997797
pt_29,2024_04,16.997797
pt_30,2024_04,16.997797
pt_31,2024_04,16.997797
pt_32,2024_04,16.997797
pt_33,2024_04,16.997797
pt_34,2024_04,16.997797
pt_35,2024_04,16.997797
